round,loss,accuracy,recall,precision
1,2.175077738906398,0.2219,0.22105727216924215,0.19630240599129511
2,2.047162142305663,0.2618,0.26197157501151913,0.2448549583702102
3,2.001356545000365,0.2839,0.2842481081872132,0.2307673084554735
4,1.9589535803505873,0.3101,0.31155065549718236,0.28223027157297825
5,1.9173485293532868,0.3268,0.32789301612155497,0.2887532601644808
6,1.8895967870047594,0.337,0.33820083415393726,0.3199933359904641
7,1.8577568863377425,0.3431,0.34436271893706516,0.3240692045081479
8,1.8465396732995,0.3459,0.34702918608035993,0.33926182460320203
9,1.8377442186528985,0.3526,0.35357011099577507,0.3436373707852893
10,1.828821677872629,0.3579,0.359148485903964,0.3432513033750273
11,1.814163768652714,0.3544,0.3562218884254721,0.3436002070362507
12,1.8123618859233275,0.3643,0.36561509533506703,0.3575288719751719
13,1.8105530883326673,0.362,0.3632845479093493,0.35772460510830134
14,1.8014749624512407,0.3623,0.3638619079176836,0.349637980039868
15,1.8037949497049506,0.3638,0.36526527974596573,0.3546354826859094
16,1.7999351143836975,0.3677,0.3688078856173789,0.3604348899205841
17,1.7937507463224007,0.3668,0.36789406455306584,0.35626250172783386
18,1.7912941603949573,0.3682,0.36923039639316924,0.3522647450841351
19,1.7919291272307893,0.3672,0.3684210345470447,0.35559738547094044
20,1.7855710957989546,0.3679,0.369202212425333,0.3565923174711522
21,1.7840822505228446,0.3659,0.3675572863410762,0.3523289145031248
22,1.7917872800971522,0.3708,0.3717188113207542,0.3588291321568216
23,1.7826531872604827,0.3721,0.37339540155916606,0.35671244393324075
24,1.7797655481280705,0.3693,0.3706790807576188,0.3581750602880242
25,1.7832105651046293,0.3689,0.3704649535791266,0.3578893408732572
26,1.7774782061576844,0.3682,0.36972388526977806,0.3563516998814258
27,1.7875282735535596,0.3742,0.37498917948258514,0.36243751711231087
28,1.7788346872185217,0.3733,0.3737768550728263,0.3642260999686089
29,1.7796298276294362,0.3747,0.3761913253280185,0.36368304507960825
30,1.7775260390657368,0.3716,0.3730892500919213,0.3534543540592302
