round,loss,accuracy,recall,precision
1,2.060243487719333,0.2074,0.20584225497933506,0.2560434990834436
2,1.9375728722774623,0.2747,0.2760145949165814,0.2580226644964393
3,1.9036393107789935,0.2853,0.2863007208790085,0.24136024843335907
4,1.896419511419354,0.2919,0.2931275519764858,0.297854346657944
5,1.8050843289404201,0.3211,0.32305976029134736,0.4092665692634768
6,1.7836300055185954,0.3355,0.337121857976577,0.353545451705772
7,1.7506043549739956,0.3361,0.3390377747466043,0.3292088334222812
8,1.716330067316691,0.3602,0.36034997529149004,0.34511802932673913
9,1.6583917928464487,0.3869,0.38758336675368094,0.37843912823857406
10,1.6829147533936932,0.3758,0.37614331120702477,0.37761886520148574
11,1.6441916162317447,0.3858,0.386700368500647,0.37808808660638893
12,1.623332113569433,0.3933,0.39552436631508264,0.3862335184481318
13,1.6068643927574155,0.398,0.4002625432780119,0.4183743981978463
14,1.6008775519602225,0.4007,0.4020764840389891,0.4011920765448889
15,1.604927688295191,0.4073,0.4081600232678756,0.4059099342368147
16,1.5629510547175551,0.4169,0.4176377232017323,0.41184396589330924
17,1.5540954103975582,0.4194,0.42060605983997085,0.4152114142771087
18,1.5500096295819135,0.416,0.41661112721211124,0.4178242348977356
19,1.5354926318833322,0.4284,0.42948158559103505,0.4322354659250274
20,1.5832600553830465,0.4134,0.4149631265974551,0.42800822846090136
21,1.51944187373826,0.438,0.4391981576366225,0.43906055315974246
22,1.4966570373737451,0.4474,0.4492475325145409,0.44164813703250827
23,1.530629031044064,0.4249,0.4279479691057319,0.45188068410474835
24,1.4925046321117517,0.4423,0.4434386988176036,0.457908928354398
25,1.475423441511212,0.4577,0.4591734959041228,0.4682156685025699
26,1.5012579654202314,0.4443,0.4464923822199306,0.4451040114342645
27,1.4652418196201322,0.4656,0.46591124255599115,0.4686438704116133
28,1.4762562591018098,0.4623,0.46293518056811334,0.4689602072255076
29,1.4596583483797132,0.4574,0.45972982785000127,0.4648370135031012
30,1.452308349537127,0.4699,0.4716981149363135,0.4721854643805406
