round,loss,accuracy,recall,precision,fpr,tnr
1,2.1386497631217494,0.2166,0.21487618105573905,0.2511749705737877,0.08714345507647264,0.9128565449235163
2,1.746420727354108,0.3217,0.32336149811656795,0.3768835206487625,0.07534942932620897,0.9246505706737798
3,1.6164840947497976,0.3985,0.4002770820926275,0.39875721018936783,0.06680697226185321,0.9331930277381357
4,1.5442023678259416,0.4283,0.4284953248751999,0.4217360123562144,0.06353751160951522,0.9364624883904737
5,1.5103468970818954,0.447,0.4483319746987486,0.44211628730738955,0.06142675781424767,0.9385732421857413
6,1.4665503267085913,0.4601,0.460798095108757,0.45229715401616827,0.05999173933262449,0.9400082606673642
7,1.4404975454012552,0.4703,0.47150238118133647,0.46409033044852716,0.05885027533845644,0.9411497246615325
8,1.4081351106817075,0.4862,0.48711052361428325,0.4850931535356178,0.05709085593926736,0.9429091440607215
9,1.3854446337078556,0.4985,0.49944041606977524,0.493615941732116,0.05572196046924395,0.9442780395307449
10,1.3587614610339658,0.5098,0.5105458201692963,0.5047751876829645,0.05446837445258472,0.9455316255474042
11,1.337562050963893,0.519,0.5200600281631801,0.5183813595852207,0.053440315257373604,0.9465596847426152
12,1.325481365666245,0.5199,0.5205129074837973,0.5235421767478505,0.05335186884393789,0.9466481311560511
13,1.2996544037804456,0.5324,0.5334290568360405,0.5298831900189941,0.05195428459810516,0.9480457154018838
14,1.2776097010482443,0.5427,0.5434449944848522,0.5396866882433715,0.05081320467330377,0.9491867953266852
15,1.2543415317029663,0.5536,0.5549178141140112,0.5532724045916328,0.04959350231015961,0.9504064976898292
16,1.2432859644745338,0.5631,0.5640051663631879,0.5604347630227973,0.04854376287216455,0.9514562371278241
17,1.2245206383141605,0.569,0.5693584951956696,0.5688428520951478,0.04789953454359761,0.9521004654563912
18,1.2022972247817303,0.5687,0.5694890303583653,0.5703391405023961,0.047924890276759,0.95207510972323
19,1.1844960971312088,0.5837,0.5843920613669701,0.5842568660914038,0.04625987907834007,0.9537401209216487
20,1.1632466355959576,0.5827,0.5838367305408069,0.5765422432754695,0.04635926946681791,0.9536407305331709
21,1.15419768817497,0.5915,0.5924075973271915,0.594196926808585,0.04538131089402458,0.954618689105964
22,1.1404299293503615,0.6069,0.6075427885745677,0.6062052383267134,0.04368324969658487,0.9563167503034039
23,1.1319514321558404,0.6023,0.6027840462284184,0.6053593052737598,0.044191459672220705,0.9558085403277682
24,1.116298214775143,0.6088,0.6098111525250214,0.6056082776663402,0.04346077289268439,0.9565392271073044
25,1.0952360140554833,0.6153,0.6161329610851339,0.611663548063213,0.04274435855486297,0.9572556414451258
26,1.086061240687515,0.6197,0.6205055678089766,0.623700183578151,0.04225244150251628,0.9577475584974726
27,1.078467292857893,0.6305,0.6314077303035501,0.6299399936718396,0.041053046757341116,0.9589469532426478
28,1.0682392477989195,0.6296,0.6302128682479673,0.6318429034746164,0.04115721646117178,0.958842783538817
29,1.0532095166769893,0.6342,0.6351212826974275,0.6355099481909585,0.040638781810134875,0.9593612181898539
30,1.0522871304642074,0.6344,0.6349525189407961,0.6370958739557987,0.04062841125622754,0.9593715887437613
