round,FP,TN,fpr
1,28,2,0.9333333333333333
2,25,5,0.8333333333333334
3,24,6,0.8
4,21,9,0.7
5,17,13,0.5666666666666667
6,15,15,0.5
7,14,16,0.4666666666666667
8,15,15,0.5
9,14,16,0.4666666666666667
10,13,17,0.43333333333333335
11,13,17,0.43333333333333335
12,12,18,0.4
13,11,19,0.36666666666666664
14,11,19,0.36666666666666664
15,11,19,0.36666666666666664
16,10,20,0.3333333333333333
17,10,20,0.3333333333333333
18,10,20,0.3333333333333333
19,9,21,0.3
20,9,21,0.3
21,8,22,0.26666666666666666
22,8,22,0.26666666666666666
23,8,22,0.26666666666666666
24,8,22,0.26666666666666666
25,8,22,0.26666666666666666
26,8,22,0.26666666666666666
27,8,22,0.26666666666666666
28,8,22,0.26666666666666666
29,8,22,0.26666666666666666
30,8,22,0.26666666666666666
