round,FP,TN,fpr
1,28,2,0.9333333333333333
2,28,2,0.9333333333333333
3,26,4,0.8666666666666667
4,23,7,0.7666666666666667
5,16,14,0.5333333333333333
6,14,16,0.4666666666666667
7,13,17,0.43333333333333335
8,13,17,0.43333333333333335
9,12,18,0.4
10,12,18,0.4
11,13,17,0.43333333333333335
12,11,19,0.36666666666666664
13,12,18,0.4
14,12,18,0.4
15,11,19,0.36666666666666664
16,10,20,0.3333333333333333
17,10,20,0.3333333333333333
18,10,20,0.3333333333333333
19,9,21,0.3
20,9,21,0.3
21,9,21,0.3
22,9,21,0.3
23,9,21,0.3
24,9,21,0.3
25,9,21,0.3
26,9,21,0.3
27,7,23,0.23333333333333334
28,8,22,0.26666666666666666
29,8,22,0.26666666666666666
30,8,22,0.26666666666666666
