round,FP,TN,fpr
1,26,4,0.8666666666666667
2,26,4,0.8666666666666667
3,23,7,0.7666666666666667
4,16,14,0.5333333333333333
5,15,15,0.5
6,14,16,0.4666666666666667
7,14,16,0.4666666666666667
8,12,18,0.4
9,12,18,0.4
10,11,19,0.36666666666666664
11,11,19,0.36666666666666664
12,10,20,0.3333333333333333
13,11,19,0.36666666666666664
14,9,21,0.3
15,8,22,0.26666666666666666
16,9,21,0.3
17,7,23,0.23333333333333334
18,7,23,0.23333333333333334
19,9,21,0.3
20,8,22,0.26666666666666666
21,8,22,0.26666666666666666
22,9,21,0.3
23,8,22,0.26666666666666666
24,9,21,0.3
25,7,23,0.23333333333333334
26,7,23,0.23333333333333334
27,7,23,0.23333333333333334
28,7,23,0.23333333333333334
29,6,24,0.2
30,6,24,0.2
