round,avg_loss,P,I,D,pid_output
1,2.1029937869972657,0.0,0.0,0.0,1.0
2,1.9110595435377153,0.005273254509002144,0.004119817042984978,0.0,1.0
3,1.7960171099693056,0.0031607076496959004,0.006589172015494018,-0.0,1.0
4,1.7209295433665082,0.0020629765800058877,0.00820090648783516,-0.0,1.0
5,1.66601994189005,0.0015086015833035325,0.009379526352163329,-0.0,1.0
6,1.6243603530384243,0.001144567070447273,0.010273738250265011,-0.0,1.0
7,1.5824336382131727,0.0011519061633548423,0.011173683935724963,0.0,1.0
8,1.5573623664322354,0.0006888150576064795,0.011711832058283312,-0.0,1.0
9,1.5243303775787354,0.00090753000102213,0.01242085483707171,0.0,1.0
10,1.496846332389211,0.0007551042617979839,0.013010792493537034,-0.0,1.0
11,1.4856588942190958,0.0003073667716161094,0.01325092785244861,-0.0,1.0
12,1.4570746400053542,0.0007853317089341725,0.013864481200450347,0.0,1.0
13,1.4347984432701077,0.0006120223924623099,0.014342633787026677,-0.0,1.0
14,1.4061424795597322,0.0007873018754852155,0.014957726360135157,0.0,1.0
15,1.3956033249223045,0.00028955565047254534,0.015183946486941654,-0.0,1.0
16,1.38056291228249,0.0004132244582341522,0.015506784909154171,0.0,1.0
17,1.3543033677434164,0.000721461992133757,0.016070438987671423,0.0,1.0
18,1.3383229319538388,0.0004390509143355078,0.016413454754600494,-0.0,1.0
19,1.3239442943107516,0.0003950426688747545,0.016722088354051864,-0.0,1.0
20,1.3004109268150634,0.0006465622497675625,0.017227225773722352,0.0,1.0
21,1.290442183566472,0.0002738840101547514,0.017441202173099694,-0.0,1.0
22,1.2726501812064457,0.0004888223955146268,0.017823102730449236,0.0,1.0
23,1.258973662342344,0.0003757524632793119,0.018116665538676868,-0.0,1.0
24,1.2462812350382884,0.00034871525948103495,0.01838910508558407,-0.0,1.0
25,1.2400016368854614,0.000172527417084357,0.018523894975219193,-0.0,1.0
26,1.22279645365382,0.00047269996442079017,0.018893199617412097,0.0,1.0
27,1.205835576047973,0.00046598784406345434,0.0192572603048906,-0.0,1.0
28,1.1900594311574149,0.00043343816965282566,0.01959589102248019,-0.0,1.0
29,1.1928629934314698,-7.702584560448387e-05,0.019535713310418323,-0.0,1.0
30,1.1750482186911597,0.000489448050191189,0.019918102670801192,0.0,1.0
